Department,Year,FTEs,Headcount,Average Age,Tenure,Average sick and domestic leave taken per employee (days),Average leave balance (days),Percentage of staff with a leave balance of over 5 weeks,Gross Turnover,Unplanned Turnover,Unplanned turnover of staff with less than 2 years tenure,Number of fixed term staff,Percentage of fixed term staff,Number of Managers,Percentage of Managers,Number of Women,Percentage of Women,Number of Maori staff,Percentage of Maori staff,Number of Asian staff,Percentage of Asian staff,Number of Pacific staff,Percentage of Pacific staff
Ministry of Agriculture & Forestry,2000,"1,019.4","1,036",41.00,10.20,,,,,,,38,3.67,,,411,39.70,18,2.34,24,3.13,12,1.56
Ministry of Agriculture & Forestry,2001,"1,192.1","1,208",40.80,9.00,,,,,8.00,9.00,27,2.24,,,474,39.20,46,4.37,55,5.22,33,3.13
Ministry of Agriculture & Forestry,2002,"1,218.7","1,241",41.60,9.20,,,,,8.00,9.00,41,3.30,,,496,40.00,44,4.17,59,5.59,37,3.50
Ministry of Agriculture & Forestry,2003,"1,291.3","1,316",41.80,9.30,4.90,15.60,19.70,,7.00,10.00,45,3.42,,,534,40.60,61,5.04,80,6.61,44,3.64
Ministry of Agriculture & Forestry,2004,"1,354.9","1,384",42.20,9.40,5.70,15.40,19.70,,8.00,13.00,71,5.13,,,566,40.90,60,4.89,85,6.93,44,3.59
Ministry of Agriculture & Forestry,2005,"1,480.5","1,525",41.90,8.80,5.00,14.40,16.80,,10.00,12.00,52,3.41,,,658,43.10,64,4.67,108,7.89,49,3.58
Ministry of Agriculture & Forestry,2006,"1,556.3","1,615",42.00,8.50,4.80,14.40,16.40,,9.00,13.00,41,2.54,,,717,44.40,74,4.91,122,8.10,53,3.52
Ministry of Agriculture & Forestry,2007,"1,591.6","1,646",42.50,8.70,3.00,16.20,20.10,,10.00,15.00,57,3.46,230,14.00,757,46.00,69,4.47,123,7.98,49,3.18
Ministry of Agriculture & Forestry,2008,"1,214.6","1,265",41.50,8.00,5.50,15.80,20.20,,10.00,13.00,55,4.35,161,12.70,589,46.60,54,4.56,107,9.03,46,3.88
Ministry of Agriculture & Forestry,2009,"1,295.2","1,365",42.00,7.80,6.80,14.90,15.50,,8.00,10.00,43,3.15,212,15.50,632,46.30,76,5.89,131,10.16,51,3.95
Ministry of Agriculture & Forestry,2010,"1,259.3","1,329",42.80,8.60,6.80,14.50,14.00,,8.00,14.00,73,5.49,219,16.50,622,46.80,78,6.15,124,9.77,48,3.78
Archives New Zealand,2001,93.5,105,39.47,0.65,,,,,,18.00,5,4.76,,,57,54.29,9,8.57,3,2.86,8,7.62
Archives New Zealand,2002,110.3,123,39.44,1.46,,,,21.05,12.62,12.68,17,13.82,,,68,55.28,10,8.20,4,3.28,9,7.38
Archives New Zealand,2003,108.7,120,40.09,2.37,3.33,15.04,13.25,13.17,9.66,11.02,19,15.83,,,67,55.83,10,8.40,3,2.52,8,6.72
Archives New Zealand,2004,109.4,118,40.41,3.01,6.03,14.81,14.46,16.81,12.00,10.26,19,16.10,,,67,56.78,12,10.26,4,3.42,7,5.98
Archives New Zealand,2005,100.5,108,41.22,3.54,3.72,6.60,,23.01,13.79,13.95,4,3.70,,,59,54.63,10,9.62,3,2.88,7,6.73
Archives New Zealand,2006,100.4,109,40.10,6.75,4.11,13.47,17.50,26.73,19.80,25.93,11,10.09,,,60,55.05,12,11.01,2,1.83,7,6.42
Archives New Zealand,2007,109.4,117,40.95,6.17,5.77,13.92,14.74,30.97,15.02,17.65,2,1.71,14,11.97,72,61.54,12,10.26,3,2.56,7,5.98
Archives New Zealand,2008,119.5,128,41.66,6.25,5.86,15.24,18.09,25.31,16.24,12.50,9,7.03,12,9.38,77,60.16,11,8.59,2,1.56,6,4.69
Archives New Zealand,2009,136.9,147,41.82,6.12,5.62,14.28,14.42,26.18,17.36,21.95,24,16.33,25,17.01,87,59.18,14,9.52,6,4.08,5,3.40
Archives New Zealand,2010,128.3,138,42.82,7.02,6.39,15.62,18.56,32.98,14.11,18.42,20,14.49,26,18.84,83,60.14,12,8.82,7,5.15,5,3.68
Office of the Auditor-General,2000,278.9,283,34.31,5.67,,,,,,,,,,,146,51.59,11,4.80,31,13.54,3,1.31
Office of the Auditor-General,2001,251.4,256,36.28,6.32,,,,26.72,26.72,26.40,,,,,135,52.73,9,4.81,24,12.83,3,1.60
Department of Building & Housing,2000,121.0,132,41.05,6.88,,,,,,,4,3.03,,,84,63.64,26,20.31,4,3.13,14,10.94
Department of Building & Housing,2001,121.4,133,41.49,7.41,,,,12.83,11.67,15.63,4,3.01,,,86,64.66,29,21.80,3,2.26,12,9.02
Department of Building & Housing,2002,128.7,139,41.74,7.27,,,,15.44,9.85,16.39,4,2.88,,,88,63.31,29,20.86,4,2.88,12,8.63
Department of Building & Housing,2003,142.0,151,41.29,6.95,4.77,11.85,7.87,18.62,9.93,19.18,4,2.65,,,95,62.91,30,19.87,2,1.32,17,11.26
Department of Building & Housing,2004,150.7,161,41.67,7.24,6.17,11.69,8.46,18.59,12.71,23.26,9,5.59,,,102,63.35,32,20.00,6,3.75,15,9.38
Department of Building & Housing,2005,215.2,227,41.72,6.47,5.11,11.66,11.04,31.44,18.29,28.83,40,17.62,,,127,55.95,34,15.96,11,5.16,15,7.04
Department of Building & Housing,2006,305.5,321,41.66,4.76,4.61,11.77,9.80,35.77,21.23,25.37,37,11.53,,,178,55.45,39,13.98,16,5.73,23,8.24
Department of Building & Housing,2007,331.8,348,41.29,4.74,4.54,14.06,15.56,33.48,20.61,22.07,40,11.49,41,11.78,197,56.61,47,14.69,18,5.63,30,9.38
Department of Building & Housing,2008,339.9,356,40.83,4.52,6.21,14.33,14.43,36.93,24.92,26.62,22,6.18,36,10.11,204,57.30,47,14.55,23,7.12,40,12.38
Department of Building & Housing,2009,347.9,364,42.13,4.88,5.79,15.18,14.49,26.11,16.57,20.44,34,9.34,49,13.46,206,56.59,53,14.85,24,6.72,32,8.96
Department of Building & Housing,2010,319.9,332,43.27,5.97,6.43,15.41,13.41,22.99,15.29,30.34,34,10.24,39,11.75,184,55.42,45,14.38,16,5.11,32,10.22
Department of Building & Housing,2011,354.8,369,43.69,6.00,5.44,14.50,13.90,20.54,14.35,16.06,40,10.84,51,13.82,218,59.08,46,12.89,17,4.76,37,10.36
Department of Building & Housing,2012,395.1,409,43.60,6.33,7.03,12.88,14.91,20.82,12.39,16.09,76,18.58,69,16.87,242,59.17,46,12.17,20,5.29,38,10.05
Canterbury Earthquake Recovery Authority,2011,5.0,5,51.38,0.00,0.00,0.00,0.00,,,,5,100.00,2,40.00,2,40.00,,,,,,
Canterbury Earthquake Recovery Authority,2012,105.6,108,41.43,0.38,2.47,5.33,0.00,14.16,,,108,100.00,39,36.11,75,69.44,,,,,,
Canterbury Earthquake Recovery Authority,2013,182.5,187,41.48,0.80,,8.00,1.50,14.24,,,187,100.00,53,28.34,120,64.17,,,,,,
Chief Executives,2000,35.0,35,53.3,4.3,,,,,,,35,100,,,7,20,1,5.56,,,1,5.56
Chief Executives,2001,35.0,35,51.5,3.6,,,,,,,35,100,,,8,22.9,2,8.7,,,1,4.35
Chief Executives,2002,32.0,32,52.4,4.1,,,,,,,32,100,,,7,21.9,3,9.68,,,1,3.23
Chief Executives,2003,33.0,33,52.8,3.7,,,,,,,33,100,,,8,24.2,2,6.25,,,1,3.13
Chief Executives,2004,31.0,31,53.3,1.6,,,,,,,31,100,,,8,25.8,1,3.23,,,1,3.23
Chief Executives,2005,32.0,32,54.1,3,,,,,,,32,100,,,9,28.1,2,6.25,,,1,3.13
Chief Executives,2006,29.0,29,54.7,5.6,,,,,,,29,100,,,7,24.1,2,6.9,,,1,3.45
Chief Executives,2007,30.0,30,54.4,3.2,,,,,,,30,100,30,100,7,23.3,,,,,1,6.67
Chief Executives,2008,30.0,30,56,4.2,,,,,,,30,100,30,100,7,23.3,,,,,1,7
Chief Executives,2009,30.0,30,56.6,4.7,,,,,,,30,100,30,100,6,20,,,,,1,5.88
Chief Executives,2010,28.0,28,56.9,5.5,,,,,,,28,100,28,100,4,14.3,,,,,1,6.67
Chief Executives,2011,26.0,26,55.1,3.4,1.8,14.5,15,33,15,20,26,100,26,100,2,7.7,,,,,1,7.14
Chief Executives,2012,21.0,21,54.8,,3.8,16.2,9.5,47,,,21,100,21,100,1,4.8,0,0,0,0,0,0
Chief Executives,2013,24.0,24,54.8,,,14.5,31,22,,,24,100,24,100,6,25,0,0,0,0,0,0
"Child, Youth & Family Services",2000,"2,004.8","2,110",43.38,5.02,,,,,,,326,15.45,,,1546,73.27,457,24.60,36,1.94,159,8.56
"Child, Youth & Family Services",2001,"2,096.7","2,215",43.32,8.42,,,,21.69,13.88,20.44,253,11.42,,,1632,73.68,449,23.13,33,1.70,163,8.40
"Child, Youth & Family Services",2002,"2,153.9","2,269",43.74,8.02,,,,22.08,10.86,13.45,197,8.68,,,1690,74.48,500,25.19,45,2.27,200,10.08
"Child, Youth & Family Services",2003,"2,187.3","2,306",43.98,8.08,9.85,24.04,44.79,19.06,12.08,17.60,206,8.93,,,1727,74.89,499,24.67,50,2.47,210,10.38
"Child, Youth & Family Services",2004,"2,462.8","2,596",44.02,8.39,9.41,13.25,18.11,17.42,11.23,16.54,281,10.82,,,1965,75.69,559,24.04,56,2.41,221,9.51
"Child, Youth & Family Services",2005,"2,663.3","2,807",44.04,7.82,9.04,23.65,43.26,19.40,13.62,20.99,335,11.93,,,2116,75.38,644,25.53,89,3.53,304,12.05
"Child, Youth & Family Services",2006,"2,830.7","2,979",43.93,7.79,7.84,22.41,40.09,23.40,15.70,19.92,318,10.67,,,2243,75.29,685,25.37,98,3.63,322,11.93
Department of Conservation,2000,"1,522.4","1,579",42.10,8.27,,,,,,,179,11.34,,,503,31.86,159,11.26,6,0.42,7,0.50
Department of Conservation,2001,"1,618.2","1,677",42.32,8.39,,,,61.06,9.61,11.90,204,12.16,,,542,32.32,170,11.61,9,0.61,7,0.48
Department of Conservation,2002,"1,726.6","1,776",42.46,8.53,,,,58.15,9.56,14.83,238,13.40,,,588,33.11,185,11.89,11,0.71,10,0.64
Department of Conservation,2003,"1,763.3","1,825",42.48,,5.96,16.21,17.36,55.82,9.13,12.77,251,13.75,,,625,34.25,202,12.84,12,0.76,10,0.64
Department of Conservation,2004,"1,838.0","1,907",42.58,8.90,5.05,15.81,15.47,51.39,10.30,13.27,295,15.47,,,680,35.66,206,13.01,18,1.14,10,0.63
Department of Conservation,2005,"1,890.9","1,964",42.90,9.13,5.12,15.38,15.52,46.91,11.59,18.87,333,16.96,,,707,36.00,206,12.98,16,1.01,6,0.38
Department of Conservation,2006,"1,953.9","2,036",43.10,8.96,6.03,1.82,,48.90,11.93,16.67,314,15.42,,,740,36.35,203,12.08,20,1.19,6,0.36
Department of Conservation,2007,"1,996.4","2,073",43.49,8.94,4.88,16.52,18.52,50.09,10.37,15.42,284,13.70,233,11.24,762,36.76,205,11.15,28,1.52,9,0.49
Department of Conservation,2008,"2,005.1","2,086",44.03,9.19,6.44,16.49,18.77,44.19,10.98,16.17,286,13.71,238,11.41,778,37.30,211,11.49,26,1.42,11,0.60
Department of Conservation,2009,"2,062.1","2,153",43.97,9.04,5.98,16.54,19.66,41.28,8.57,12.16,290,13.47,215,9.99,794,36.88,236,12.34,30,1.57,9,0.47
Department of Conservation,2010,"2,048.4","2,137",44.61,9.46,6.50,16.80,19.35,31.75,7.15,10.72,252,11.79,225,10.53,820,38.37,244,12.77,25,1.31,10,0.52
Department of Conservation,2011,"2,039.3","2,122",45.18,9.84,6.00,15.40,17.70,32.12,7.86,11.27,249,11.73,218,10.27,806,37.98,244,12.79,22,1.15,9,0.47
Department of Conservation,2012,"1,830.9","1,897",45.54,10.57,6.42,16.40,21.00,39.01,9.14,14.03,227,11.97,205,10.81,698,36.79,217,12.64,20,1.16,9,0.52
Department of Conservation,2013,"1,879.5","1,952",45.89,11.09,4.82,17.90,13.20,29.57,8.50,18.14,303,15.52,197,10.09,752,38.52,220,12.34,19,1.07,4,0.22
Department of Corrections,2000,"3,818.8","3,879",43.52,9.17,,,,,,,134,3.45,,,1280,33.00,807,21.67,52,1.40,175,4.70
Department of Corrections,2001,"4,087.6","4,146",43.71,8.78,,,,11.17,8.78,13.50,172,4.15,,,1426,34.39,824,21.28,66,1.70,190,4.91
Department of Corrections,2002,"4,266.0","4,329",44.20,8.91,,,,12.74,10.00,14.89,160,3.70,,,1466,33.86,913,22.15,77,1.87,219,5.31
Department of Corrections,2003,"4,285.1","4,358",44.64,9.15,6.59,17.24,21.50,11.19,8.75,13.64,159,3.65,,,1541,35.36,945,23.07,87,2.12,227,5.54
Department of Corrections,2004,"4,619.7","4,815",45.31,9.04,6.55,16.67,21.60,13.47,10.43,17.71,190,3.95,,,1682,34.93,1022,23.56,97,2.24,245,5.65
Department of Corrections,2005,"5,113.1","5,301",45.31,8.36,6.09,16.85,24.37,14.45,11.92,17.09,196,3.70,,,1945,36.69,1235,24.50,138,2.74,359,7.12
Department of Corrections,2006,"5,599.5","5,694",44.74,7.65,6.18,16.26,21.68,14.28,11.25,15.15,166,2.92,,,2198,38.60,1192,23.34,192,3.76,415,8.12
Department of Corrections,2007,"6,332.0","6,545",45.20,7.27,5.96,18.91,28.01,13.84,11.90,16.06,177,2.70,539,8.24,2562,39.14,1524,24.96,275,4.50,557,9.12
Department of Corrections,2008,"6,803.2","7,022",45.32,7.03,6.45,20.00,31.95,15.38,13.06,18.26,179,2.55,537,7.65,2759,39.29,1606,24.70,312,4.80,635,9.77
Department of Corrections,2009,"7,113.6","7,336",45.92,7.22,7.14,20.37,33.24,12.93,10.31,14.59,190,2.59,586,7.99,2971,40.50,1639,24.12,330,4.86,641,9.43
Department of Corrections,2010,"7,704.4","7,937",45.95,7.26,6.87,20.05,32.76,11.10,8.21,13.13,303,3.82,618,7.79,3296,41.53,1678,23.23,368,5.09,676,9.36
Department of Corrections,2011,"7,289.6","7,508",46.53,7.82,7.75,19.55,30.95,16.76,8.83,13.94,313,4.17,654,8.71,3229,43.01,1587,23.07,331,4.81,590,8.58
Department of Corrections,2012,"7,509.5","7,726",46.94,8.05,7.93,19.82,32.20,13.18,9.46,15.36,311,4.03,694,8.98,3359,43.48,1620,22.91,347,4.91,603,8.53
Department of Corrections,2013,"7,593.4","7,790",47.26,8.09,7.36,20.28,33.62,13.34,9.32,12.63,136,1.75,593,7.61,3443,44.20,1604,22.47,367,5.14,607,8.50
Department for Courts,2000,"1,824.4","1,920",40.29,8.93,,,,,,,295,15.36,,,1291,67.24,338,20.90,51,3.15,144,8.91
Department for Courts,2001,"1,888.0","1,993",40.67,8.11,,,,23.26,16.92,30.26,167,8.38,,,1343,67.39,386,22.13,57,3.27,166,9.52
Department for Courts,2002,"1,974.3","2,089",40.99,7.93,,,,20.53,15.78,20.95,188,9.00,,,1397,66.87,391,21.11,71,3.83,172,9.29
Department for Courts,2003,"2,065.2","2,188",40.84,7.56,7.14,11.77,7.41,19.78,14.96,22.63,158,7.22,,,1455,66.50,397,20.83,80,4.20,189,9.92
Department for Courts,2004,"2,141.4","2,257",41.14,7.61,6.67,12.78,8.10,22.09,16.42,24.11,182,8.06,,,1503,66.59,415,20.22,121,5.90,243,11.84
Crown Law Office,2000,124.9,134,37.79,5.62,,,,,,,75,55.97,,,100,74.63,10,7.63,5,3.82,3,2.29
Crown Law Office,2001,126.0,135,38.47,4.86,,,,21.56,12.60,17.39,67,49.63,,,98,72.59,13,9.70,4,2.99,4,2.99
Crown Law Office,2002,125.9,133,39.51,4.42,,,,29.10,10.60,6.56,50,37.59,,,94,70.68,9,6.82,4,3.03,5,3.79
Crown Law Office,2003,129.2,137,39.75,4.52,4.81,12.19,10.47,26.67,14.29,8.00,38,27.74,,,100,72.99,10,7.35,4,2.94,7,5.15
Crown Law Office,2004,140.8,147,40.69,5.34,5.88,12.59,14.41,32.39,16.38,17.07,14,9.52,,,108,73.47,13,9.03,4,2.78,5,3.47
Crown Law Office,2005,152.1,157,39.99,4.91,4.80,12.65,11.85,32.89,16.43,13.59,10,6.37,,,115,73.25,13,8.50,5,3.27,5,3.27
Crown Law Office,2006,153.2,158,40.81,5.17,4.67,13.50,13.33,22.22,16.33,18.80,11,6.96,,,118,74.68,11,7.19,6,3.92,4,2.61
Crown Law Office,2007,172.6,188,40.04,4.75,5.49,15.11,19.86,22.54,11.32,15.13,17,9.04,9,4.79,130,69.15,17,9.39,7,3.87,5,2.76
Crown Law Office,2008,174.9,192,39.89,5.06,5.61,14.60,19.73,23.68,17.77,15.15,14,7.29,9,4.69,135,70.31,19,10.16,9,4.81,4,2.14
Crown Law Office,2009,182.3,196,40.67,5.48,5.53,15.70,19.38,18.04,13.70,13.95,9,4.59,11,5.61,134,68.37,19,9.79,6,3.09,3,1.55
Crown Law Office,2010,180.6,193,41.14,5.93,4.52,15.47,16.99,14.40,11.38,7.84,11,5.70,10,5.18,133,68.91,16,8.38,5,2.62,3,1.57
Crown Law Office,2011,184.3,199,41.43,6.21,6.24,17.46,17.29,13.78,8.72,7.89,11,5.53,10,5.03,142,71.36,14,7.04,6,3.02,4,2.01
Crown Law Office,2012,185.8,197,42.32,7.05,6.56,14.21,17.07,13.13,9.73,12.90,15,7.61,11,5.58,137,69.54,15,7.61,7,3.55,4,2.03
Crown Law Office,2013,163.5,167,40.59,6.82,5.72,14.93,18.00,37.91,18.62,5.80,16,9.58,14,8.38,115,68.86,13,7.78,4,2.40,1,0.60
Ministry for Culture & Heritage,2000,15.0,15,38.60,6.40,,,,,,,2,13.33,,,10,66.67,,,1,6.67,1,6.67
Ministry for Culture & Heritage,2001,51.3,55,43.17,6.32,,,,20.00,8.00,9.52,18,32.73,,,28,50.91,4,7.69,1,1.92,,
Ministry for Culture & Heritage,2002,53.5,56,42.91,6.16,,,,21.62,15.79,18.18,17,30.36,,,28,50.00,6,11.32,,,,
Ministry for Culture & Heritage,2003,57.4,60,43.66,6.11,,12.35,15.38,18.97,14.63,11.76,17,28.33,,,29,48.33,8,13.79,,,,
Ministry for Culture & Heritage,2004,69.8,74,43.57,4.87,2.56,6.14,2.08,17.91,8.25,5.41,20,27.03,,,40,54.05,11,14.86,,,1,1.35
Ministry for Culture & Heritage,2005,71.7,75,43.98,5.47,5.10,12.83,8.16,20.13,10.91,10.00,19,25.33,,,41,54.67,8,10.67,,,1,1.33
Ministry for Culture & Heritage,2006,85.8,92,42.92,4.10,5.00,11.51,3.51,20.36,15.87,20.83,22,23.91,,,55,59.78,8,9.41,,,,
Ministry for Culture & Heritage,2007,88.9,94,43.24,4.49,7.43,12.66,6.90,19.35,8.76,3.70,27,28.72,17,18.09,55,58.51,9,10.23,,,,
Ministry for Culture & Heritage,2008,99.7,109,42.64,4.26,6.75,12.53,8.82,25.62,19.18,18.18,30,27.52,21,19.27,65,59.63,13,12.87,2,1.98,1,0.99
Ministry for Culture & Heritage,2009,100.1,110,43.88,5.03,6.15,13.67,6.25,22.83,20.78,24.56,35,31.82,21,19.09,65,59.09,10,9.09,2,1.82,1,0.91
Ministry for Culture & Heritage,2010,102.9,113,44.45,5.37,5.50,13.26,9.38,17.04,16.00,15.69,38,33.63,29,25.66,66,58.41,13,11.50,2,1.77,1,0.88
Ministry for Culture & Heritage,2011,114.8,125,44.62,5.58,4.92,11.29,4.00,17.65,11.61,9.30,45,36.00,26,20.80,69,55.20,14,11.20,2,1.60,3,2.40
Ministry for Culture & Heritage,2012,122.1,132,44.94,6.01,6.36,12.47,5.00,18.68,8.75,10.00,52,39.39,21,15.91,77,58.33,15,11.36,4,3.03,3,2.27
Ministry for Culture & Heritage,2013,118.3,127,45.75,6.07,5.64,12.76,11.00,28.57,16.05,14.29,45,35.43,24,18.90,72,56.69,15,11.81,3,2.36,3,2.36
NZ Customs Service,2000,715.6,773,40.77,16.04,,,,,,,29,3.75,,,300,38.81,51,7.82,33,5.06,60,9.20
NZ Customs Service,2001,723.9,786,41.07,15.69,,,,18.22,13.87,36.31,16,2.04,,,297,37.79,47,7.00,40,5.96,64,9.54
NZ Customs Service,2002,771.1,834,41.61,14.80,,,,16.05,13.53,28.50,7,0.84,,,342,41.01,68,9.23,58,7.87,78,10.58
NZ Customs Service,2003,838.2,914,41.69,13.97,6.87,,,14.30,10.86,20.26,10,1.09,,,374,40.92,75,9.21,68,8.35,84,10.32
NZ Customs Service,2004,"1,039.1","1,111",40.27,11.98,6.53,7.51,3.47,11.16,7.50,12.60,15,1.35,,,452,40.68,99,9.96,85,8.55,83,8.35
NZ Customs Service,2005,"1,198.7","1,274",39.85,10.88,6.44,9.34,3.93,12.75,9.44,13.30,18,1.41,,,511,40.11,110,9.43,111,9.52,108,9.26
NZ Customs Service,2006,"1,177.1","1,243",40.55,11.63,7.24,9.99,4.92,12.63,11.81,21.31,27,2.17,,,490,39.42,109,9.33,105,8.99,105,8.99
NZ Customs Service,2007,"1,198.2","1,255",40.65,11.71,7.16,12.29,7.75,14.25,12.47,15.33,18,1.43,64,5.10,487,38.80,108,9.08,105,8.82,98,8.24
